"","carrier","flight","tailnum","origin","dest","distance","departure","scheduled_departure","arrival","scheduled_arrival"
"4812","DL",1109,"N374NW","LGA","TPA",1010,"02.02.2013 08:10:00 Uhr","02.02.2013 08:17:00 Uhr","02.02.2013 10:58:00 Uhr","02.02.2013 11:27:00 Uhr"
"4813","B6",130,"N239JB","JFK","BUF",301,"06.06.2013 18:30:00 Uhr","06.06.2013 18:36:00 Uhr","06.06.2013 20:13:00 Uhr","06.06.2013 20:15:00 Uhr"
"4814","MQ",3674,"N544MQ","LGA","CLE",419,"06.10.2013 19:07:00 Uhr","06.10.2013 18:50:00 Uhr","06.10.2013 20:50:00 Uhr","06.10.2013 20:25:00 Uhr"
"4815","DL",2185,"N917DL","LGA","TPA",1010,"01.01.2013 10:56:00 Uhr","01.01.2013 11:00:00 Uhr","01.01.2013 14:07:00 Uhr","01.01.2013 14:13:00 Uhr"
"4816","MQ",3737,"N518MQ","EWR","ORD",719,"20.05.2013 07:50:00 Uhr","20.05.2013 07:55:00 Uhr","20.05.2013 09:10:00 Uhr","20.05.2013 09:20:00 Uhr"
"4817","B6",677,"N281JB","JFK","JAX",828,"29.06.2013 08:02:00 Uhr","29.06.2013 08:00:00 Uhr","29.06.2013 10:31:00 Uhr","29.06.2013 10:21:00 Uhr"
"4818","DL",1576,"N3747D","JFK","SAN",2446,"21.10.2013 18:32:00 Uhr","21.10.2013 18:35:00 Uhr","21.10.2013 21:35:00 Uhr","21.10.2013 21:38:00 Uhr"
"4819","AA",1815,"N3DYAA","JFK","MCO",944,"21.08.2013 07:18:00 Uhr","21.08.2013 07:25:00 Uhr","21.08.2013 10:08:00 Uhr","21.08.2013 10:10:00 Uhr"
"4820","DL",1415,"N389DA","JFK","SLC",1990,"21.09.2013 06:58:00 Uhr","21.09.2013 07:00:00 Uhr","21.09.2013 09:54:00 Uhr","21.09.2013 10:02:00 Uhr"
"4821","9E",4059,"N8560F","LGA","DAY",549,"26.08.2013 18:44:00 Uhr","26.08.2013 18:50:00 Uhr","26.08.2013 20:25:00 Uhr","26.08.2013 21:05:00 Uhr"
"4822","AA",2488,"N4XLAA","EWR","DFW",1372,"08.09.2013 17:09:00 Uhr","08.09.2013 17:15:00 Uhr","08.09.2013 19:25:00 Uhr","08.09.2013 20:15:00 Uhr"
"4823","UA",1066,"N33209","EWR","BOS",200,"25.02.2013 21:33:00 Uhr","25.02.2013 21:35:00 Uhr","25.02.2013 22:25:00 Uhr","25.02.2013 22:44:00 Uhr"
"4824","MQ",3478,"N528MQ","LGA","DTW",502,"06.10.2013 08:25:00 Uhr","06.10.2013 08:29:00 Uhr","06.10.2013 10:29:00 Uhr","06.10.2013 10:29:00 Uhr"
"4825","UA",1645,"N26208","EWR","SAT",1569,"30.04.2013 18:07:00 Uhr","30.04.2013 18:00:00 Uhr","30.04.2013 21:17:00 Uhr","30.04.2013 21:25:00 Uhr"
"4826","B6",263,"N520JB","JFK","SEA",2422,"01.11.2013 20:04:00 Uhr","01.11.2013 18:49:00 Uhr","01.11.2013 23:15:00 Uhr","01.11.2013 22:09:00 Uhr"
"4827","DL",1269,"N360NB","LGA","MEM",963,"01.09.2013 10:39:00 Uhr","01.09.2013 10:40:00 Uhr","01.09.2013 12:17:00 Uhr","01.09.2013 12:32:00 Uhr"
"4828","AA",1039,"N3FXAA","JFK","FLL",1069,"15.01.2013 15:24:00 Uhr","15.01.2013 15:30:00 Uhr","15.01.2013 18:35:00 Uhr","15.01.2013 18:55:00 Uhr"
"4829","B6",5,"N568JB","EWR","FLL",1065,"18.11.2013 09:49:00 Uhr","18.11.2013 09:53:00 Uhr","18.11.2013 12:39:00 Uhr","18.11.2013 12:56:00 Uhr"
"4830","AA",33,"N328AA","JFK","LAX",2475,"30.07.2013 07:30:00 Uhr","30.07.2013 07:30:00 Uhr","30.07.2013 10:27:00 Uhr","30.07.2013 10:25:00 Uhr"
"4831","B6",625,"N346JB","JFK","HOU",1428,"09.06.2013 07:57:00 Uhr","09.06.2013 08:00:00 Uhr","09.06.2013 10:37:00 Uhr","09.06.2013 10:50:00 Uhr"
"4832","MQ",3768,"N530MQ","EWR","ORD",719,"25.02.2013 05:57:00 Uhr","25.02.2013 06:00:00 Uhr","25.02.2013 07:18:00 Uhr","25.02.2013 07:35:00 Uhr"
"4833","DL",2131,"N314US","LGA","DTW",502,"06.06.2013 18:26:00 Uhr","06.06.2013 18:29:00 Uhr","06.06.2013 20:47:00 Uhr","06.06.2013 20:34:00 Uhr"
"4834","AA",2297,"N3BCAA","LGA","MIA",1096,"10.12.2013 15:48:00 Uhr","10.12.2013 14:55:00 Uhr","10.12.2013 19:22:00 Uhr","10.12.2013 18:20:00 Uhr"
"4835","B6",1729,"N591JB","JFK","RSW",1074,"17.09.2013 15:16:00 Uhr","17.09.2013 15:17:00 Uhr","17.09.2013 18:18:00 Uhr","17.09.2013 18:34:00 Uhr"
"4836","DL",2319,"N3762Y","LGA","MSP",1020,"28.07.2013 10:11:00 Uhr","28.07.2013 10:08:00 Uhr","28.07.2013 11:52:00 Uhr","28.07.2013 12:15:00 Uhr"
"4837","AA",1850,"N3BNAA","JFK","BOS",187,"18.07.2013 13:23:00 Uhr","18.07.2013 12:45:00 Uhr","18.07.2013 14:20:00 Uhr","18.07.2013 13:55:00 Uhr"
"4838","B6",271,"N517JB","LGA","FLL",1076,"05.08.2013 09:42:00 Uhr","05.08.2013 09:33:00 Uhr","05.08.2013 13:01:00 Uhr","05.08.2013 12:35:00 Uhr"
"4839","WN",16,"N254WN","EWR","HOU",1411,"23.09.2013 06:24:00 Uhr","23.09.2013 06:25:00 Uhr","23.09.2013 08:51:00 Uhr","23.09.2013 09:15:00 Uhr"
"4840","AA",1905,"N3ADAA","EWR","DFW",1372,"06.05.2013 16:58:00 Uhr","06.05.2013 16:59:00 Uhr","06.05.2013 19:33:00 Uhr","06.05.2013 19:59:00 Uhr"
"4841","DL",831,"N359NB","LGA","DTW",502,"14.11.2013 07:18:00 Uhr","14.11.2013 07:25:00 Uhr","14.11.2013 08:58:00 Uhr","14.11.2013 09:27:00 Uhr"
"4842","UA",1463,"N23708","EWR","BOS",200,"17.10.2013 16:53:00 Uhr","17.10.2013 16:20:00 Uhr","17.10.2013 17:53:00 Uhr","17.10.2013 17:40:00 Uhr"
"4843","UA",1409,"N76528","EWR","LAS",2227,"08.09.2013 10:45:00 Uhr","08.09.2013 10:50:00 Uhr","08.09.2013 13:02:00 Uhr","08.09.2013 13:18:00 Uhr"
"4844","F9",507,"N209FR","LGA","DEN",1620,"08.07.2013 13:41:00 Uhr","08.07.2013 13:25:00 Uhr","08.07.2013 15:43:00 Uhr","08.07.2013 15:45:00 Uhr"
"4845","B6",1111,"N296JB","JFK","RDU",427,"21.01.2013 18:56:00 Uhr","21.01.2013 17:35:00 Uhr","21.01.2013 20:29:00 Uhr","21.01.2013 19:22:00 Uhr"
"4846","MQ",4491,"N822MQ","LGA","CLE",419,"26.04.2013 15:18:00 Uhr","26.04.2013 13:45:00 Uhr","26.04.2013 17:44:00 Uhr","26.04.2013 15:30:00 Uhr"
"4847","DL",1275,"N3743H","JFK","SLC",1990,"18.10.2013 10:55:00 Uhr","18.10.2013 10:55:00 Uhr","18.10.2013 13:45:00 Uhr","18.10.2013 13:56:00 Uhr"
"4848","UA",282,"N489UA","EWR","LAX",2454,"12.04.2013 05:59:00 Uhr","12.04.2013 06:00:00 Uhr","12.04.2013 09:06:00 Uhr","12.04.2013 09:03:00 Uhr"
"4849","DL",1131,"N318US","LGA","DTW",502,"16.10.2013 12:47:00 Uhr","16.10.2013 12:48:00 Uhr","16.10.2013 14:55:00 Uhr","16.10.2013 14:50:00 Uhr"
"4850","EV",4328,"N12135","EWR","MSY",1167,"05.08.2013 15:49:00 Uhr","05.08.2013 15:55:00 Uhr","05.08.2013 17:59:00 Uhr","05.08.2013 18:06:00 Uhr"
"4851","9E",2925,"N272PQ","JFK","MSY",1182,"27.11.2013 19:56:00 Uhr","27.11.2013 19:20:00 Uhr","27.11.2013 22:56:00 Uhr","27.11.2013 22:02:00 Uhr"
"4852","US",375,"N667AW","EWR","CLT",529,"05.02.2013 10:10:00 Uhr","05.02.2013 10:15:00 Uhr","05.02.2013 12:13:00 Uhr","05.02.2013 12:08:00 Uhr"
"4853","UA",207,"N465UA","EWR","SNA",2434,"02.07.2013 07:15:00 Uhr","02.07.2013 07:15:00 Uhr","02.07.2013 09:35:00 Uhr","02.07.2013 10:05:00 Uhr"
"4854","UA",535,"N557UA","JFK","LAX",2475,"06.01.2013 17:46:00 Uhr","06.01.2013 17:51:00 Uhr","06.01.2013 20:41:00 Uhr","06.01.2013 21:03:00 Uhr"
"4855","B6",1418,"N537JB","JFK","BOS",187,"26.11.2013 07:58:00 Uhr","26.11.2013 08:00:00 Uhr","26.11.2013 08:57:00 Uhr","26.11.2013 09:12:00 Uhr"
"4856","DL",1629,"N392DA","JFK","LAS",2248,"16.10.2013 17:48:00 Uhr","16.10.2013 17:55:00 Uhr","16.10.2013 20:37:00 Uhr","16.10.2013 20:36:00 Uhr"
"4857","UA",1668,"N53441","EWR","SFO",2565,"27.09.2013 06:37:00 Uhr","27.09.2013 06:30:00 Uhr","27.09.2013 09:40:00 Uhr","27.09.2013 09:46:00 Uhr"
"4858","B6",234,"N324JB","JFK","BTV",266,"30.07.2013 22:51:00 Uhr","30.07.2013 22:45:00 Uhr","30.07.2013 :02:00 Uhr","30.07.2013 :01:00 Uhr"
"4859","DL",763,"N194DN","JFK","LAX",2475,"16.08.2013 06:59:00 Uhr","16.08.2013 07:00:00 Uhr","16.08.2013 09:37:00 Uhr","16.08.2013 10:04:00 Uhr"
"4860","DL",31,"N727TW","JFK","SFO",2586,"28.01.2013 16:56:00 Uhr","28.01.2013 17:00:00 Uhr","28.01.2013 20:14:00 Uhr","28.01.2013 20:49:00 Uhr"
"4861","UA",1025,"N38443","EWR","CLE",404,"24.04.2013 14:34:00 Uhr","24.04.2013 14:35:00 Uhr","24.04.2013 16:11:00 Uhr","24.04.2013 16:11:00 Uhr"
"4862","AA",199,"N3JCAA","JFK","ORD",740,"17.11.2013 18:39:00 Uhr","17.11.2013 17:00:00 Uhr","17.11.2013 20:35:00 Uhr","17.11.2013 18:55:00 Uhr"
"4863","EV",4536,"N14923","EWR","CVG",569,"06.01.2013 19:50:00 Uhr","06.01.2013 19:29:00 Uhr","06.01.2013 22:08:00 Uhr","06.01.2013 21:35:00 Uhr"
"4864","UA",1405,"N18220","LGA","IAH",1416,"14.01.2013 09:25:00 Uhr","14.01.2013 09:00:00 Uhr","14.01.2013 13:06:00 Uhr","14.01.2013 12:16:00 Uhr"
"4865","UA",527,"N541UA","EWR","CLE",404,"28.09.2013 15:31:00 Uhr","28.09.2013 15:25:00 Uhr","28.09.2013 16:48:00 Uhr","28.09.2013 16:59:00 Uhr"
"4866","DL",329,"N3756","JFK","SJU",1598,"06.04.2013 16:56:00 Uhr","06.04.2013 17:00:00 Uhr","06.04.2013 21:00:00 Uhr","06.04.2013 21:07:00 Uhr"
"4867","DL",2139,"N319NB","LGA","MIA",1096,"19.11.2013 18:38:00 Uhr","19.11.2013 18:40:00 Uhr","19.11.2013 21:49:00 Uhr","19.11.2013 21:56:00 Uhr"
"4868","US",1277,"N741UW","LGA","CLT",544,"13.06.2013 10:25:00 Uhr","13.06.2013 09:59:00 Uhr","13.06.2013 13:30:00 Uhr","13.06.2013 12:01:00 Uhr"
"4869","MQ",4478,"N720MQ","LGA","DTW",502,"17.05.2013 08:25:00 Uhr","17.05.2013 08:29:00 Uhr","17.05.2013 10:35:00 Uhr","17.05.2013 10:34:00 Uhr"
"4870","B6",383,"N599JB","LGA","FLL",1076,"29.03.2013 21:25:00 Uhr","29.03.2013 21:38:00 Uhr","29.03.2013 0:13:00 Uhr","29.03.2013 0:29:00 Uhr"
"4871","B6",925,"N796JB","JFK","TPA",1005,"18.08.2013 10:23:00 Uhr","18.08.2013 10:25:00 Uhr","18.08.2013 13:23:00 Uhr","18.08.2013 13:08:00 Uhr"
"4872","B6",1503,"N509JB","JFK","SJU",1598,"14.12.2013 :04:00 Uhr","14.12.2013 23:59:00 Uhr","14.12.2013 04:51:00 Uhr","14.12.2013 04:40:00 Uhr"
"4873","9E",3342,"N8930E","EWR","DTW",488,"14.11.2013 12:47:00 Uhr","14.11.2013 12:44:00 Uhr","14.11.2013 14:36:00 Uhr","14.11.2013 14:46:00 Uhr"
"4874","9E",3318,"N921XJ","JFK","BUF",301,"09.01.2013 14:47:00 Uhr","09.01.2013 14:55:00 Uhr","09.01.2013 16:29:00 Uhr","09.01.2013 16:37:00 Uhr"
"4875","UA",1105,"N37252","LGA","ORD",733,"24.05.2013 12:07:00 Uhr","24.05.2013 07:00:00 Uhr","24.05.2013 13:34:00 Uhr","24.05.2013 08:30:00 Uhr"
"4876","AA",707,"N3DTAA","LGA","DFW",1389,"06.06.2013 05:50:00 Uhr","06.06.2013 06:00:00 Uhr","06.06.2013 09:19:00 Uhr","06.06.2013 08:50:00 Uhr"
"4877","B6",677,"N646JB","JFK","LAX",2475,"05.06.2013 20:29:00 Uhr","05.06.2013 20:30:00 Uhr","05.06.2013 23:41:00 Uhr","05.06.2013 23:56:00 Uhr"
"4878","B6",44,"N646JB","JFK","SYR",209,"01.04.2013 07:53:00 Uhr","01.04.2013 07:28:00 Uhr","01.04.2013 09:05:00 Uhr","01.04.2013 08:44:00 Uhr"
"4879","B6",1099,"N556JB","LGA","MCO",950,"22.09.2013 07:07:00 Uhr","22.09.2013 06:30:00 Uhr","22.09.2013 09:41:00 Uhr","22.09.2013 09:14:00 Uhr"
"4880","AA",177,"N328AA","JFK","SFO",2586,"10.02.2013 17:46:00 Uhr","10.02.2013 17:45:00 Uhr","10.02.2013 20:48:00 Uhr","10.02.2013 21:20:00 Uhr"
"4881","EV",4240,"N16961","EWR","BUF",282,"24.07.2013 09:52:00 Uhr","24.07.2013 09:29:00 Uhr","24.07.2013 11:01:00 Uhr","24.07.2013 10:50:00 Uhr"
"4882","9E",3507,"N903XJ","JFK","MSY",1182,"26.08.2013 07:54:00 Uhr","26.08.2013 08:00:00 Uhr","26.08.2013 09:41:00 Uhr","26.08.2013 10:19:00 Uhr"
"4883","UA",1600,"N14115","EWR","LAX",2454,"14.09.2013 15:15:00 Uhr","14.09.2013 15:20:00 Uhr","14.09.2013 17:57:00 Uhr","14.09.2013 18:18:00 Uhr"
"4884","UA",596,"N464UA","EWR","SFO",2565,"22.04.2013 10:10:00 Uhr","22.04.2013 10:15:00 Uhr","22.04.2013 13:36:00 Uhr","22.04.2013 13:36:00 Uhr"
"4885","UA",450,"N801UA","EWR","DFW",1372,"13.10.2013 07:49:00 Uhr","13.10.2013 07:51:00 Uhr","13.10.2013 10:28:00 Uhr","13.10.2013 10:43:00 Uhr"
"4886","VX",27,"N621VA","JFK","SFO",2586,"12.03.2013 17:15:00 Uhr","12.03.2013 16:30:00 Uhr","12.03.2013 21:25:00 Uhr","12.03.2013 20:15:00 Uhr"
"4887","DL",31,"N3748Y","JFK","SLC",1990,"14.09.2013 15:51:00 Uhr","14.09.2013 15:45:00 Uhr","14.09.2013 19:02:00 Uhr","14.09.2013 18:51:00 Uhr"
"4888","EV",4380,"N33182","EWR","MSP",1008,"12.10.2013 08:53:00 Uhr","12.10.2013 08:59:00 Uhr","12.10.2013 10:40:00 Uhr","12.10.2013 11:02:00 Uhr"
"4889","AA",185,"N329AA","JFK","LAX",2475,"14.07.2013 21:53:00 Uhr","14.07.2013 21:50:00 Uhr","14.07.2013 0:20:00 Uhr","14.07.2013 01:00:00 Uhr"
"4890","WN",3935,"N714CB","LGA","MDW",725,"22.01.2013 07:55:00 Uhr","22.01.2013 07:55:00 Uhr","22.01.2013 09:21:00 Uhr","22.01.2013 09:30:00 Uhr"
"4891","WN",2431,"N433LV","LGA","MDW",725,"10.07.2013 09:43:00 Uhr","10.07.2013 09:45:00 Uhr","10.07.2013 11:11:00 Uhr","10.07.2013 11:20:00 Uhr"
"4892","WN",389,"N274WN","LGA","MDW",725,"14.01.2013 18:00:00 Uhr","14.01.2013 18:05:00 Uhr","14.01.2013 19:49:00 Uhr","14.01.2013 19:35:00 Uhr"
"4893","MQ",3461,"N530MQ","LGA","BNA",764,"22.06.2013 11:57:00 Uhr","22.06.2013 11:55:00 Uhr","22.06.2013 12:58:00 Uhr","22.06.2013 13:10:00 Uhr"
"4894","B6",83,"N637JB","JFK","MCO",944,"06.11.2013 15:29:00 Uhr","06.11.2013 15:30:00 Uhr","06.11.2013 18:05:00 Uhr","06.11.2013 18:29:00 Uhr"
"4895","EV",5048,"N724EV","LGA","RIC",292,"30.08.2013 20:29:00 Uhr","30.08.2013 20:30:00 Uhr","30.08.2013 21:46:00 Uhr","30.08.2013 22:11:00 Uhr"
"4896","US",2181,"N747UW","LGA","DCA",214,"10.01.2013 15:53:00 Uhr","10.01.2013 16:00:00 Uhr","10.01.2013 17:06:00 Uhr","10.01.2013 17:17:00 Uhr"
"4897","EV",4380,"N14180","EWR","MSP",1008,"17.06.2013 09:25:00 Uhr","17.06.2013 09:30:00 Uhr","17.06.2013 11:20:00 Uhr","17.06.2013 11:36:00 Uhr"
"4898","EV",4119,"N13968","EWR","RIC",277,"21.01.2013 21:03:00 Uhr","21.01.2013 21:00:00 Uhr","21.01.2013 22:27:00 Uhr","21.01.2013 22:12:00 Uhr"
"4899","EV",5274,"N712EV","LGA","BNA",764,"23.09.2013 18:32:00 Uhr","23.09.2013 18:42:00 Uhr","23.09.2013 19:51:00 Uhr","23.09.2013 20:19:00 Uhr"
"4900","UA",424,"N842UA","EWR","BOS",200,"06.09.2013 07:12:00 Uhr","06.09.2013 07:24:00 Uhr","06.09.2013 08:09:00 Uhr","06.09.2013 08:36:00 Uhr"
"4901","EV",4445,"N11539","EWR","IND",645,"30.09.2013 11:42:00 Uhr","30.09.2013 11:30:00 Uhr","30.09.2013 13:34:00 Uhr","30.09.2013 13:38:00 Uhr"
"4902","UA",1668,"N37281","EWR","SFO",2565,"31.12.2013 13:55:00 Uhr","31.12.2013 13:50:00 Uhr","31.12.2013 17:33:00 Uhr","31.12.2013 17:30:00 Uhr"
"4903","EV",4281,"N12175","EWR","BTV",266,"16.05.2013 13:35:00 Uhr","16.05.2013 13:29:00 Uhr","16.05.2013 14:34:00 Uhr","16.05.2013 14:45:00 Uhr"
"4904","DL",417,"N196DN","JFK","LAX",2475,"18.12.2013 15:30:00 Uhr","18.12.2013 15:30:00 Uhr","18.12.2013 18:55:00 Uhr","18.12.2013 19:03:00 Uhr"
"4905","DL",731,"N366NB","LGA","DTW",502,"30.03.2013 05:50:00 Uhr","30.03.2013 06:00:00 Uhr","30.03.2013 07:21:00 Uhr","30.03.2013 07:59:00 Uhr"
"4906","MQ",4426,"N719MQ","LGA","CMH",479,"03.02.2013 13:02:00 Uhr","03.02.2013 13:00:00 Uhr","03.02.2013 14:55:00 Uhr","03.02.2013 14:50:00 Uhr"
"4907","EV",3839,"N13958","EWR","DCA",199,"03.06.2013 18:18:00 Uhr","03.06.2013 17:47:00 Uhr","03.06.2013 20:13:00 Uhr","03.06.2013 19:00:00 Uhr"
"4908","EV",4572,"N14570","EWR","GSP",594,"12.11.2013 15:53:00 Uhr","12.11.2013 15:20:00 Uhr","12.11.2013 18:01:00 Uhr","12.11.2013 17:23:00 Uhr"
"4909","EV",4429,"N26141","EWR","RDU",416,"13.01.2013 11:28:00 Uhr","13.01.2013 11:30:00 Uhr","13.01.2013 12:56:00 Uhr","13.01.2013 13:06:00 Uhr"
"4910","UA",268,"N403UA","EWR","SEA",2402,"15.08.2013 17:53:00 Uhr","15.08.2013 17:27:00 Uhr","15.08.2013 20:28:00 Uhr","15.08.2013 20:28:00 Uhr"
"4911","DL",763,"N721TW","JFK","LAX",2475,"25.04.2013 07:06:00 Uhr","25.04.2013 07:05:00 Uhr","25.04.2013 10:34:00 Uhr","25.04.2013 10:30:00 Uhr"
"4912","WN",35,"N917WN","EWR","DEN",1605,"19.04.2013 07:20:00 Uhr","19.04.2013 07:20:00 Uhr","19.04.2013 09:21:00 Uhr","19.04.2013 09:35:00 Uhr"
"4913","B6",527,"N597JB","EWR","MCO",937,"24.07.2013 21:21:00 Uhr","24.07.2013 21:19:00 Uhr","24.07.2013 0:17:00 Uhr","24.07.2013 23:54:00 Uhr"
"4914","UA",1233,"N16234","EWR","BOS",200,"10.02.2013 11:25:00 Uhr","10.02.2013 11:00:00 Uhr","10.02.2013 12:26:00 Uhr","10.02.2013 12:09:00 Uhr"
"4915","AA",321,"N4YRAA","LGA","ORD",733,"10.03.2013 10:22:00 Uhr","10.03.2013 10:30:00 Uhr","10.03.2013 11:48:00 Uhr","10.03.2013 12:10:00 Uhr"
"4916","DL",1429,"N6708D","JFK","LAS",2248,"05.10.2013 08:08:00 Uhr","05.10.2013 08:15:00 Uhr","05.10.2013 10:33:00 Uhr","05.10.2013 10:54:00 Uhr"
"4917","EV",4645,"N14916","EWR","JAX",820,"26.02.2013 20:26:00 Uhr","26.02.2013 20:05:00 Uhr","26.02.2013 22:56:00 Uhr","26.02.2013 22:37:00 Uhr"
"4918","US",1831,"N173US","JFK","CLT",541,"10.10.2013 08:25:00 Uhr","10.10.2013 08:25:00 Uhr","10.10.2013 10:21:00 Uhr","10.10.2013 10:29:00 Uhr"
"4919","UA",1591,"N37293","EWR","IAH",1400,"13.07.2013 05:37:00 Uhr","13.07.2013 05:35:00 Uhr","13.07.2013 07:45:00 Uhr","13.07.2013 08:03:00 Uhr"
"4920","UA",1200,"N79279","EWR","SAN",2425,"25.02.2013 15:37:00 Uhr","25.02.2013 15:29:00 Uhr","25.02.2013 18:23:00 Uhr","25.02.2013 18:41:00 Uhr"
"4921","AA",791,"N3CLAA","LGA","DFW",1389,"05.03.2013 19:31:00 Uhr","05.03.2013 19:35:00 Uhr","05.03.2013 22:08:00 Uhr","05.03.2013 22:40:00 Uhr"
"4922","WN",4128,"N956WN","EWR","MDW",711,"23.11.2013 18:20:00 Uhr","23.11.2013 18:25:00 Uhr","23.11.2013 19:44:00 Uhr","23.11.2013 20:00:00 Uhr"
"4923","WN",4349,"N917WN","EWR","MSY",1167,"24.11.2013 18:06:00 Uhr","24.11.2013 18:15:00 Uhr","24.11.2013 20:14:00 Uhr","24.11.2013 20:55:00 Uhr"
"4924","MQ",3730,"N504MQ","EWR","ORD",719,"30.04.2013 18:09:00 Uhr","30.04.2013 18:15:00 Uhr","30.04.2013 19:25:00 Uhr","30.04.2013 19:55:00 Uhr"
"4925","HA",51,"N391HA","JFK","HNL",4983,"07.12.2013 09:27:00 Uhr","07.12.2013 09:30:00 Uhr","07.12.2013 15:49:00 Uhr","07.12.2013 15:35:00 Uhr"
"4926","AA",320,"N487AA","EWR","DFW",1372,"14.11.2013 15:06:00 Uhr","14.11.2013 15:15:00 Uhr","14.11.2013 17:48:00 Uhr","14.11.2013 18:10:00 Uhr"
"4927","UA",1112,"N87512","LGA","ORD",733,"09.05.2013 20:06:00 Uhr","09.05.2013 19:00:00 Uhr","09.05.2013 21:37:00 Uhr","09.05.2013 20:37:00 Uhr"
"4928","US",654,"N652AW","JFK","PHX",2153,"31.03.2013 06:27:00 Uhr","31.03.2013 06:30:00 Uhr","31.03.2013 08:37:00 Uhr","31.03.2013 09:13:00 Uhr"
"4929","DL",831,"N974DL","LGA","DTW",502,"05.05.2013 07:08:00 Uhr","05.05.2013 07:15:00 Uhr","05.05.2013 08:50:00 Uhr","05.05.2013 09:14:00 Uhr"
"4930","UA",1024,"N33209","EWR","SFO",2565,"28.06.2013 05:50:00 Uhr","28.06.2013 05:49:00 Uhr","28.06.2013 08:48:00 Uhr","28.06.2013 08:58:00 Uhr"
"4931","9E",3493,"N934XJ","LGA","SRQ",1047,"08.09.2013 12:21:00 Uhr","08.09.2013 11:15:00 Uhr","08.09.2013 15:01:00 Uhr","08.09.2013 14:28:00 Uhr"
"4932","EV",4316,"N13133","EWR","RIC",277,"17.03.2013 17:50:00 Uhr","17.03.2013 16:59:00 Uhr","17.03.2013 19:04:00 Uhr","17.03.2013 18:21:00 Uhr"
"4933","9E",3470,"N928XJ","JFK","DTW",509,"31.03.2013 18:10:00 Uhr","31.03.2013 18:15:00 Uhr","31.03.2013 20:17:00 Uhr","31.03.2013 20:36:00 Uhr"
"4934","B6",30,"N348JB","JFK","ROC",264,"17.01.2013 22:46:00 Uhr","17.01.2013 22:50:00 Uhr","17.01.2013 :03:00 Uhr","17.01.2013 :07:00 Uhr"
"4935","UA",648,"N467UA","LGA","ORD",733,"16.03.2013 06:57:00 Uhr","16.03.2013 07:00:00 Uhr","16.03.2013 08:25:00 Uhr","16.03.2013 08:39:00 Uhr"
"4936","B6",115,"N355JB","JFK","MSY",1182,"08.06.2013 20:36:00 Uhr","08.06.2013 20:45:00 Uhr","08.06.2013 22:51:00 Uhr","08.06.2013 23:13:00 Uhr"
"4937","UA",676,"N541UA","EWR","SEA",2402,"18.03.2013 16:09:00 Uhr","18.03.2013 16:14:00 Uhr","18.03.2013 19:01:00 Uhr","18.03.2013 19:05:00 Uhr"
"4938","DL",2459,"N3742C","JFK","MCO",944,"16.07.2013 16:15:00 Uhr","16.07.2013 15:55:00 Uhr","16.07.2013 19:14:00 Uhr","16.07.2013 19:04:00 Uhr"
"4939","DL",2445,"N911DE","LGA","MCO",950,"22.07.2013 10:59:00 Uhr","22.07.2013 11:00:00 Uhr","22.07.2013 13:53:00 Uhr","22.07.2013 13:59:00 Uhr"
"4940","UA",685,"N469UA","LGA","ORD",733,"31.01.2013 15:00:00 Uhr","31.01.2013 15:00:00 Uhr","31.01.2013 16:37:00 Uhr","31.01.2013 16:39:00 Uhr"
"4941","US",1665,"N751UW","LGA","CLT",544,"07.01.2013 15:29:00 Uhr","07.01.2013 15:30:00 Uhr","07.01.2013 17:30:00 Uhr","07.01.2013 17:34:00 Uhr"
"4942","9E",3405,"N918XJ","JFK","DCA",213,"14.02.2013 08:37:00 Uhr","14.02.2013 08:45:00 Uhr","14.02.2013 09:39:00 Uhr","14.02.2013 10:15:00 Uhr"
"4943","UA",405,"N507UA","LGA","DEN",1620,"15.09.2013 10:23:00 Uhr","15.09.2013 10:30:00 Uhr","15.09.2013 12:32:00 Uhr","15.09.2013 12:52:00 Uhr"
"4944","UA",264,"N421UA","LGA","DEN",1620,"22.11.2013 11:07:00 Uhr","22.11.2013 11:14:00 Uhr","22.11.2013 13:43:00 Uhr","22.11.2013 13:47:00 Uhr"
"4945","UA",841,"N512UA","JFK","LAX",2475,"06.12.2013 14:43:00 Uhr","06.12.2013 14:45:00 Uhr","06.12.2013 17:56:00 Uhr","06.12.2013 18:09:00 Uhr"
"4946","MQ",3662,"N504MQ","LGA","ATL",762,"10.10.2013 21:11:00 Uhr","10.10.2013 19:50:00 Uhr","10.10.2013 23:19:00 Uhr","10.10.2013 22:15:00 Uhr"
"4947","AA",331,"N201AA","LGA","ORD",733,"30.06.2013 13:08:00 Uhr","30.06.2013 13:15:00 Uhr","30.06.2013 16:00:00 Uhr","30.06.2013 14:55:00 Uhr"
"4948","B6",153,"N579JB","JFK","PBI",1028,"17.11.2013 20:38:00 Uhr","17.11.2013 20:18:00 Uhr","17.11.2013 23:53:00 Uhr","17.11.2013 23:13:00 Uhr"
"4949","EV",5293,"N724EV","LGA","ORF",296,"20.11.2013 17:05:00 Uhr","20.11.2013 16:35:00 Uhr","20.11.2013 18:44:00 Uhr","20.11.2013 18:10:00 Uhr"
"4950","UA",1680,"N75426","EWR","MIA",1085,"19.07.2013 20:53:00 Uhr","19.07.2013 20:19:00 Uhr","19.07.2013 23:37:00 Uhr","19.07.2013 23:32:00 Uhr"
